Video ID,Date,Channel ID,Title
8qWIY3utLd4,2020-06-18,UC7c3Kb6jYCRj4JOHHZTxKsQ,Next.js - Open Source Friday
WK-UFw0ZOIw,2020-06-18,UC7c3Kb6jYCRj4JOHHZTxKsQ,Open Source Friday - How to contribute to Next.js
NuonD5G28L8,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Closing remarks - GitHub Satellite 2020
pYzfGaLTqC0,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Finding security vulnerabilities in JavaScript with CodeQL - GitHub Satellite 2020
nvCd0Ee4FgE,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Finding security vulnerabilities in Java with CodeQL - GitHub Satellite 2020
PYsZeFTdJ50,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Continuous delivery with GitHub Actions - GitHub Satellite 2020
cyh8DU2QPzg,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Continuous integration with GitHub Actions - GitHub Satellite 2020
wcxOJq9YemE,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building GitHub integrations with webhooks and REST- GitHub Satellite 2020
l3g41dGObJ4,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building automations with GitHub Apps and GraphQL - GitHub Satellite 2020
ECdxifljjE4,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,ART MACHINES: fostering digital creativity through live coding and ML - GitHub Satellite 2020
dy2eYaNxaQc,2020-05-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,How to get from idea to contribution in minutes - GitHub Satellite 2020
U8NpT_myO9A,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Algorithmic Positivity Symphony - GitHub Satellite 2020
5LlTto6NIFA,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Weird Algorithm - GitHub Satellite 2020
UKVNmHCxwk4,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building a Fantasy Game Console - GitHub Satellite 2020
sRLWIAPaiRI,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Creative Coding in p5.js - GitHub Satellite 2020
Qyoz5p6WZUg,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Frontiers of neural arts - GitHub Satellite 2020
0OHzS5lOlpo,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Creative Machine Learning with RunwayML - GitHub Satellite 2020
QD_frigh5ak,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Livecoded Compositions - GitHub Satellite 2020
-8YgwVJQlYw,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Coding Augmented Reality Live - GitHub Satellite 2020
-_9TliNB8k0,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Lockdown Algorave - GitHub Satellite 2020
nQRRVR3Usag,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,HIPERSONICA - GitHub Satellite 2020
6ADAoz34KHU,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Hiperfragmentación - GitHub Satellite 2020
7AYAKxLi7Mw,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Ponicode AI Rap Battle - GitHub Satellite 2020
dJbMImgvnKU,2020-05-08,UC7c3Kb6jYCRj4JOHHZTxKsQ,Sam Aaron - GitHub Satellite 2020
T6sW1Dk9B4E,2020-05-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,What every GitHub user should know about VS Code - GitHub Satellite 2020
7P9JDf4Lc0Y,2020-05-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Using GitHub Actions and HashiCorp Terraform - GitHub Satellite 2020
FOLCaZ9CbzA,2020-05-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Putting GitHub at your fingertips - GitHub Satellite 2020
0SAtaNjdViI,2020-05-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,A lap around GitHub One - GitHub Satellite 2020
rOaShvTmZFk,2020-05-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Accelerating cloud native deployment with GitHub Actions and AWS - GitHub Satellite 2020
UVV26xOgdP0,2020-05-07,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building Stripe’s remote hub: scaling distributed teams - GitHub Satellite 2020
