Video_ID,Title,Channel,Publish_Date,Publish_Time,Views,Likes,Disliked,Comment_Count,Video_Tags,Video_Description
NuonD5G28L8,Closing remarks - GitHub Satellite 2020,GitHub,2020-05-08,17:46:48,2349,42,42,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020', 'Erica Brescia']","Presented by Erica Brescia, COO, GitHubGitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
pYzfGaLTqC0,Finding security vulnerabilities in JavaScript with CodeQL - GitHub Satellite 2020,GitHub,2020-05-08,06:00:18,1629,50,50,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020']","CodeQL is GitHub's expressive language and engine for code analysis, which allows you to explore source code to find bugs and security vulnerabilities. During this beginner-friendly workshop, you will learn to write queries in CodeQL and find known security vulnerabilities in open source JavaScript projects.GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
nvCd0Ee4FgE,Finding security vulnerabilities in Java with CodeQL - GitHub Satellite 2020,GitHub,2020-05-08,06:00:18,1083,30,30,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020']","CodeQL is GitHub's expressive language and engine for code analysis, which allows you to explore source code to find bugs and security vulnerabilities. During this beginner-friendly workshop, you will learn to write queries in CodeQL and find known security vulnerabilities in open source Java projects.GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
PYsZeFTdJ50,Continuous delivery with GitHub Actions - GitHub Satellite 2020,GitHub,2020-05-08,06:00:17,437,8,8,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020']","GitHub Actions gives us the power to use our repositories to speed up the delivery of our software and applications, all from one central point of truth. This workshop will provide you with hands-on experiences with GitHub Actions to leverage GitHub package registry and safely deploy applications to the cloud.GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
cyh8DU2QPzg,Continuous integration with GitHub Actions - GitHub Satellite 2020,GitHub,2020-05-08,06:00:18,1142,23,23,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020']","""GitHub Actions gives teams world-class CI capabilities, helping developers merge and deploy code many times in a single day. The silent power of GitHub Actions lies in its ability to programmatically define just about any workflow to mirror your team’s processes. In this workshop, you'll learn how to:Create and use multiple, customized workflowsImplement a unit testing framework using GitHub ActionsUse multiple jobs in a workflow and pass artifacts between jobsConfigure a repository to work in conjunction with GitHub Actions workflows and your team's workflow.""GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
wcxOJq9YemE,Building GitHub integrations with webhooks and REST- GitHub Satellite 2020,GitHub,2020-05-08,06:00:29,439,15,15,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020']","Webhooks are valuable tools for powering real-time integrations and workflows in your project’s existing tools. This session will walk through an approach of building a webhook-powered application that acts on events as they take place on GitHub. You will also learn how to use the GitHub REST API through the Octokit SDK to call for additional resources after receiving an event.GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
l3g41dGObJ4,Building automations with GitHub Apps and GraphQL - GitHub Satellite 2020,GitHub,2020-05-08,06:00:18,763,13,13,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020']","Have you ever wondered how to make cool robots that can help manage repositories? This session will show you how to bootstrap a GitHub App and get it running in under one hour. Speakers Mark Tareshawty and Andrew Hoglund will walk you through selecting composite resources from the GraphQL API and generating a starter application in JavaScript with authentication.GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
ECdxifljjE4,ART MACHINES: fostering digital creativity through live coding and ML - GitHub Satellite 2020,GitHub,2020-05-08,06:00:18,341,15,15,Comments disabled/turned off.,N/A,"Creative Coders use machines to create aesthetic and surprising experiences. This 90-minute set, curated by Dutch digital arts community Creative Coding Utrecht, presents a dynamic array of work coming from the creative coding community in Europe. from playful uses of machine learning to live coding to create experimental, improvised visuals and music.Saskia Freeke & Timo HooglandAmalgamA live-coding performance combining high contrast geometric 2D visuals coded in Hydra mapped to audioreactive 3D objects with decimated deep techno coded in Mercury. Hydra is a browser-based visual coding environment, Mercury is a highly abstracted language for algorithmic composition of electronic music coded in MaxMSP, NodeJS and OpenGL. About the title: In chemistry the element Mercury can form an alloy with another metallic element. This combination of two metals is called an amalgam.Edwin Jakobs, RNDRLive coding with OPENRNDRIn this session I talk about creative coding, live coding and OPENRNDR. Creative coding is not strictly defined, but in this session's context it is the process of writing software for (or as) artistic expression. Then, live coding is the idea of software that can be changed while it runs. The ability to quickly iterate over ideas makes live coding an exciting tool for creative coders. I focus in this talk on OPENRNDR, which is an opensource framework for creative coding that has recently received tools for live coding.Andreas Refsgaard, InflationPlayful machine learningInteraction designer and digital artist Andreas Refsgaard will break down a few fun interactive projects, and will guide everyone with a webcam and a browser to try them out themselves. GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
dy2eYaNxaQc,How to get from idea to contribution in minutes - GitHub Satellite 2020,GitHub,2020-05-07,22:27:40,1652,57,57,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020', 'Sasha Rosenbaum']","Presented by Sasha Rosenbaum, Product Manager, GitHubHow long does it take you to get a new developer up to speed on an open source project or an enterprise development team? Three weeks? Three days? Learn how new GitHub features can save you valuable onboarding time—and get developers ready to code faster.GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
U8NpT_myO9A,Algorithmic Positivity Symphony - GitHub Satellite 2020,GitHub,2020-05-08,06:00:34,826,13,13,Comments disabled/turned off.,"['git', 'github']","During the time of lockdown and isolation, Mynah Marie collected messages of positivity, hope and strength from people around the world. Using the power of code and algorithms, she'll join all these voices into one musical performance.Mynah Marie is a musician, programmer and live coder from Montreal, Canada. Some of the artists she collaborated with are Fazal Qureshi (India), Din Din Aviv and Mayumena (Israel) and Casa Verde Colectivo (Mexico). With Earth To Abigail, Mynah joins her passion for music and programming in the hopes of opening up conversations about the relationship between Art and technology in our society.GitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
